distrito_code,nome,ibge_code,municipio_nome,uf
110001505,Alta Floresta D'Oeste,1100015,Alta Floresta D'Oeste,RO
110001515,Filadélfia d'Oeste,1100015,Alta Floresta D'Oeste,RO
110001520,Izidolândia,1100015,Alta Floresta D'Oeste,RO
110001525,Nova Gease d'Oeste,1100015,Alta Floresta D'Oeste,RO
110001530,Rolim de Moura do Guaporé,1100015,Alta Floresta D'Oeste,RO
110001535,Santo Antônio d'Oeste,1100015,Alta Floresta D'Oeste,RO
110002305,Ariquemes,1100023,Ariquemes,RO
110003105,Cabixi,1100031,Cabixi,RO
110004905,Cacoal,1100049,Cacoal,RO
110004910,Riozinho,1100049,Cacoal,RO
110004915,Divinópolis,1100049,Cacoal,RO
110005605,Cerejeiras,1100056,Cerejeiras,RO
110006405,Colorado do Oeste,1100064,Colorado do Oeste,RO
110007205,Corumbiara,1100072,Corumbiara,RO
110008005,Costa Marques,1100080,Costa Marques,RO
110008015,Real Forte Príncipe da Beira,1100080,Costa Marques,RO
110008035,São Domingos do Guaporé,1100080,Costa Marques,RO
110009805,Espigão D'Oeste,1100098,Espigão D'Oeste,RO
110009810,Boa Vista do Pacarana,1100098,Espigão D'Oeste,RO
110009812,Novo Paraíso,1100098,Espigão D'Oeste,RO
110009815,Flor da Serra,1100098,Espigão D'Oeste,RO
110009818,Nova Esperança,1100098,Espigão D'Oeste,RO
110010605,Guajará-Mirim,1100106,Guajará-Mirim,RO
110010612,Iata,1100106,Guajará-Mirim,RO
110010622,Surpresa,1100106,Guajará-Mirim,RO
110011405,Jaru,1100114,Jaru,RO
110011410,Bom Jesus,1100114,Jaru,RO
110011420,Santa Cruz da Serra,1100114,Jaru,RO
110011425,Tarilândia,1100114,Jaru,RO
110012205,Ji-Paraná,1100122,Ji-Paraná,RO
110012220,Nova Colina,1100122,Ji-Paraná,RO
110012225,Nova Londrina,1100122,Ji-Paraná,RO
110013005,Machadinho D'Oeste,1100130,Machadinho D'Oeste,RO
110013015,Oriente Novo,1100130,Machadinho D'Oeste,RO
110013020,Quinto BEC,1100130,Machadinho D'Oeste,RO
110013025,Tabajara,1100130,Machadinho D'Oeste,RO
110014805,Nova Brasilândia D'Oeste,1100148,Nova Brasilândia D'Oeste,RO
110015505,Ouro Preto do Oeste,1100155,Ouro Preto do Oeste,RO
110015525,Rondominas,1100155,Ouro Preto do Oeste,RO
110018905,Pimenta Bueno,1100189,Pimenta Bueno,RO
110018915,Marco Rondon,1100189,Pimenta Bueno,RO
110018920,Itaporanga,1100189,Pimenta Bueno,RO
110020505,Porto Velho,1100205,Porto Velho,RO
110020510,Abunã,1100205,Porto Velho,RO
110020515,Calama,1100205,Porto Velho,RO
110020516,Demarcação,1100205,Porto Velho,RO
110020517,Extrema,1100205,Porto Velho,RO
110020518,Fortaleza do Abunã,1100205,Porto Velho,RO
110020520,Jaci Paraná,1100205,Porto Velho,RO
110020525,Mutum Paraná,1100205,Porto Velho,RO
110020530,Nazaré,1100205,Porto Velho,RO
110020535,Nova Califórnia,1100205,Porto Velho,RO
110020540,São Carlos,1100205,Porto Velho,RO
110020545,Vista Alegre do Abunã,1100205,Porto Velho,RO
110025405,Presidente Médici,1100254,Presidente Médici,RO
110025415,Estrela de Rondônia,1100254,Presidente Médici,RO
110025420,Novo Riachuelo,1100254,Presidente Médici,RO
110025425,Vila Bandeira Branca,1100254,Presidente Médici,RO
110025430,Vila Camargo,1100254,Presidente Médici,RO
110026205,Rio Crespo,1100262,Rio Crespo,RO
110028805,Rolim de Moura,1100288,Rolim de Moura,RO
110028811,Nova Estrela,1100288,Rolim de Moura,RO
