subdistrito_code,nome,distrito_code,ibge_code,uf
11002050506,Zona 01,110020505,1100205,RO
11002050507,Zona 02,110020505,1100205,RO
11002050508,Zona 03,110020505,1100205,RO
11002050509,Zona 04,110020505,1100205,RO
11002050510,Zona 05,110020505,1100205,RO
13026030506,Primeira R.A.,130260305,1302603,AM
13026030507,Segunda R.A.,130260305,1302603,AM
13026030508,Terceira R.A.,130260305,1302603,AM
13026030509,Quarta R.A.,130260305,1302603,AM
13026030510,Quinta R.A.,130260305,1302603,AM
13026030511,Sexta R.A.,130260305,1302603,AM
13026030512,Sétima R.A.,130260305,1302603,AM
13026030513,Oitava R.A.,130260305,1302603,AM
13026030514,Nona R.A.,130260305,1302603,AM
22110010506,Centro,221100105,2211001,PI
22110010507,Leste,221100105,2211001,PI
22110010508,Norte,221100105,2211001,PI
22110010509,Sudeste,221100105,2211001,PI
22110010510,Sul,221100105,2211001,PI
23044000513,Região administrativa I,230440005,2304400,CE
23044000514,Região administrativa II,230440005,2304400,CE
23044000515,Região administrativa III,230440005,2304400,CE
23044000516,Região administrativa IV,230440005,2304400,CE
23044000517,Região administrativa V,230440005,2304400,CE
23044000518,Região administrativa VI,230440005,2304400,CE
23044000519,Região administrativa VII,230440005,2304400,CE
23044000520,Região administrativa VIII,230440005,2304400,CE
23044000521,Região administrativa IX,230440005,2304400,CE
23044000522,Região administrativa X,230440005,2304400,CE
23044000523,Região administrativa XI,230440005,2304400,CE
23044000524,Região administrativa XII,230440005,2304400,CE
24081020506,R.A. Norte,240810205,2408102,RN
24081020507,R.A. Sul,240810205,2408102,RN
24081020508,R.A. Leste,240810205,2408102,RN
24081020509,R.A. Oeste,240810205,2408102,RN
26034540506,RPA I,260345405,2603454,PE
26034540507,RPA II,260345405,2603454,PE
26034540508,RPA III,260345405,2603454,PE
26034540509,RPA IV,260345405,2603454,PE
26034540510,RPA V,260345405,2603454,PE
26111010506,RA Centro,261110105,2611101,PE
26111010507,RA Oeste,261110105,2611101,PE
26111010508,RA Norte,261110105,2611101,PE
26111010509,RA Leste,261110105,2611101,PE
26116060518,RPA 01,261160605,2611606,PE
26116060519,RPA 02,261160605,2611606,PE
26116060520,RPA 03,261160605,2611606,PE
26116060521,RPA 04,261160605,2611606,PE
26116060522,RPA 05,261160605,2611606,PE
26116060523,RPA 06,261160605,2611606,PE
27043020506,Primeira Região,270430205,2704302,AL
27043020507,Segunda Região,270430205,2704302,AL
27043020508,Terceira Região,270430205,2704302,AL
27043020509,Quarta Região,270430205,2704302,AL
27043020510,Quinta Região,270430205,2704302,AL
27043020511,Sexta Região,270430205,2704302,AL
27043020512,Sétima Região,270430205,2704302,AL
27043020513,Oitava Região,270430205,2704302,AL
29108000506,Mangabeira,291080005,2910800,BA
29108000507,Pampalona,291080005,2910800,BA
29108000508,Santana,291080005,2910800,BA
29108000509,Santo Antônio,291080005,2910800,BA
29108000511,Subae,291080005,2910800,BA
29274080506,Amaralina,292740805,2927408,BA
29274080507,Brotas,292740805,2927408,BA
29274080508,Conceição da Praia,292740805,2927408,BA
29274080509,Itapoã,292740805,2927408,BA
29274080510,Maré,292740805,2927408,BA
29274080511,Mares,292740805,2927408,BA
29274080512,Nazaré,292740805,2927408,BA
29274080513,Paripe,292740805,2927408,BA
29274080514,Passo,292740805,2927408,BA
29274080515,Penha,292740805,2927408,BA
29274080516,Periperi,292740805,2927408,BA
29274080517,Pilar,292740805,2927408,BA
29274080518,Pirajá,292740805,2927408,BA
29274080519,Plataforma,292740805,2927408,BA
29274080520,Santana,292740805,2927408,BA
29274080521,Santo Antônio,292740805,2927408,BA
29274080522,São Caetano,292740805,2927408,BA
29274080523,São Cristovão,292740805,2927408,BA
29274080524,São Pedro,292740805,2927408,BA
29274080525,Sé,292740805,2927408,BA
29274080526,Valéria,292740805,2927408,BA
29274080527,Vitória,292740805,2927408,BA
31057070506,Primeiro Subdistrito,310570705,3105707,MG
31057070507,Segundo Subdistrito,310570705,3105707,MG
31062000562,Centro-Sul,310620005,3106200,MG
31062000563,Leste,310620005,3106200,MG
31062000564,Nordeste,310620005,3106200,MG
31062000565,Noroeste,310620005,3106200,MG
31062000566,Norte,310620005,3106200,MG
31062000567,Oeste,310620005,3106200,MG
31062000568,Pampulha,310620005,3106200,MG
31062000569,Venda Nova,310620005,3106200,MG
31062000570,Região Administrativa Hipercentro,310620005,3106200,MG
31062002561,Barreiro,310620025,3106200,MG
31062002567,Oeste,310620025,3106200,MG
31062006064,Nordeste,310620060,3106200,MG
31062006066,Norte,310620060,3106200,MG
31062006068,Pampulha,310620060,3106200,MG
31062006069,Venda Nova,310620060,3106200,MG
31067050501,Sede,310670505,3106705,MG
31067050502,Norte,310670505,3106705,MG
31067050503,Alterosas,310670505,3106705,MG
31067050504,PTB,310670505,3106705,MG
31067050505,Imbiruçu,310670505,3106705,MG
31067050506,Teresópolis,310670505,3106705,MG
31067050507,Citrolândia,310670505,3106705,MG
31067050508,Vianópolis,310670505,3106705,MG
31067050509,Icaivera,310670505,3106705,MG
31067050510,Petrovale,310670505,3106705,MG
31186010507,Riacho,311860105,3118601,MG
31186010509,Eldorado,311860105,3118601,MG
31186010510,Cinco,311860105,3118601,MG
31186010512,Perobas,311860105,3118601,MG
31186010513,Colorado,311860105,3118601,MG
31186010514,Laguna,311860105,3118601,MG
31186010515,São Joaquim,311860105,3118601,MG
31186010516,Confisco,311860105,3118601,MG
31186010517,Ceasa,311860105,3118601,MG
31186010518,Boa Vista,311860105,3118601,MG
31186010519,Tapera,311860105,3118601,MG
31186010520,Estrela D'alva,311860105,3118601,MG
31186010521,Nacional,311860105,3118601,MG
31186010522,Bom Jesus,311860105,3118601,MG
31186010523,Sede,311860105,3118601,MG
31186010524,VM5,311860105,3118601,MG
31186010525,Bernardo Monteiro,311860105,3118601,MG
31186010526,Petrolândia,311860105,3118601,MG
31186010527,Nova Contagem,311860105,3118601,MG
31186010528,Vargem das Flores,311860105,3118601,MG
31186011001,Cidade Industrial,311860110,3118601,MG
31186011002,Jardim Industrial,311860110,3118601,MG
31186011003,Industrial,311860110,3118601,MG
31186011004,Inconfidentes,311860110,3118601,MG
31186011005,Amazonas,311860110,3118601,MG
31186011006,Bandeirantes,311860110,3118601,MG
31186011007,Riacho,311860110,3118601,MG
31186011008,Jardim Riacho,311860110,3118601,MG
31186011009,Eldorado,311860110,3118601,MG
31186011011,Água Branca,311860110,3118601,MG
31189080501,Região Administrativa 1,311890805,3118908,MG
31189080502,Região Administrativa 2,311890805,3118908,MG
31189080503,Região Administrativa 3,311890805,3118908,MG
31189080504,Região Administrativa 4,311890805,3118908,MG
31189080505,Região Administrativa 5,311890805,3118908,MG
31189080506,Região Administrativa 6,311890805,3118908,MG
31189080507,Região Administrativa 7,311890805,3118908,MG
31189080508,Região Administrativa 8,311890805,3118908,MG
31324040506,1 Subdistrito,313240405,3132404,MG
31324040507,Piedade,313240405,3132404,MG
31367020506,Unidade Territorial I,313670205,3136702,MG
31367020507,Unidade Territorial II,313670205,3136702,MG
31367020508,Unidade Territorial III,313670205,3136702,MG
31367020509,Unidade Territorial IV,313670205,3136702,MG
31367020511,Unidade Territorial V,313670205,3136702,MG
31367020512,Unidade Territorial VI,313670205,3136702,MG
31367020513,Unidade Territorial VII,313670205,3136702,MG
31367020514,Unidade Territorial VIII,313670205,3136702,MG
31367020516,Unidade Territorial IX,313670205,3136702,MG
31367020517,Unidade Territorial X,313670205,3136702,MG
31367020518,Unidade Territorial XI,313670205,3136702,MG
31367020519,Unidade Territorial XII,313670205,3136702,MG
31367020521,Unidade Territorial XIII,313670205,3136702,MG
31367020522,Unidade Territorial XIV,313670205,3136702,MG
31367020523,Unidade Territorial XV,313670205,3136702,MG
31367020524,Unidade Territorial XVI,313670205,3136702,MG
31521050506,1 Subdistrito,315210505,3152105,MG
31521050507,2 Sub-Distrito,315210505,3152105,MG
31672020501,I Região Administrativa,316720205,3167202,MG
31672020502,II Região Administrativa,316720205,3167202,MG
31672020503,III Região Administrativa,316720205,3167202,MG
31672020504,IV Região Administrativa,316720205,3167202,MG
31672020505,V Região Administrativa,316720205,3167202,MG
31672020506,VI Região Administrativa,316720205,3167202,MG
31672020507,VII Região Administrativa,316720205,3167202,MG
31672020508,VIII Região Administrativa,316720205,3167202,MG
31672020509,IX Região Administrativa,316720205,3167202,MG
31672020510,X Região Administrativa,316720205,3167202,MG
31672020511,XI Região Administrativa,316720205,3167202,MG
31672020512,XII Região Administrativa,316720205,3167202,MG
31672020513,XIII Região Administrativa,316720205,3167202,MG
31672020514,XIV Região Administrativa,316720205,3167202,MG
31672020515,XV Região Administrativa,316720205,3167202,MG
31672020516,XVI Região Administrativa,316720205,3167202,MG
31672020517,XVII Região Administrativa,316720205,3167202,MG
32052000506,Centro,320520005,3205200,ES
32052000507,Grande Aribiri,320520005,3205200,ES
32052000509,Grande Ibes,320520005,3205200,ES
32052001007,Grande Aribiri,320520010,3205200,ES
32052001008,Grande Cobilândia,320520010,3205200,ES
32052001507,Grande Aribiri,320520015,3205200,ES
32052001508,Grande Cobilândia,320520015,3205200,ES
32052001509,Grande Ibes,320520015,3205200,ES
32052002010,Grande Jucu,320520020,3205200,ES
32052002507,Grande Aribiri,320520025,3205200,ES
32052002508,Grande Cobilândia,320520025,3205200,ES
32053090506,Região Administrativa I - Centro,320530905,3205309,ES
32053090507,Região Administrativa II - Santo Antônio,320530905,3205309,ES
32053090508,Região Administrativa III - Jucutuquara,320530905,3205309,ES
32053090509,Região Administrativa IV - Maruípe,320530905,3205309,ES
32053090510,Região Administrativa V - Praia do Canto,320530905,3205309,ES
32053090512,Região Administrativa VII - São Pedro,320530905,3205309,ES
32053091013,Região Administrativa VI - Goiabeiras,320530910,3205309,ES
32053091014,Região Administrativa VIII - Jardim Camburi,320530910,3205309,ES
32053091015,Região Administrativa IX - Jardim da Penha,320530910,3205309,ES
33004070501,Região Administrativa 01 - Centro,330040705,3300407,RJ
33004070502,Região Administrativa 02 - Vista Alegre,330040705,3300407,RJ
33004070503,Região Administrativa 03 - Vila Nova,330040705,3300407,RJ
33004070504,Região Administrativa 04 - Ano Bom,330040705,3300407,RJ
33004070505,Região Administrativa 05 - Vila Elmira,330040705,3300407,RJ
